FID,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,geometry,CITY_NAME,POP_updated,POP_updated_year,capital,index__water,Name1__waterbody,Name2__waterbody,Name3__waterbody,TYPE__waterbody,ISO_CC__waterbody,SHAPE_Length__waterbody,SHAPE_Area__waterbody,distance_water,index__sea,Name1__sea,Name2__sea,Name3__sea,TYPE__sea,ISO_CC__sea,SHAPE_Length__sea,SHAPE_Area__sea,distance_sea,POP_rank_updated,city_type
162,BRA-RDJ,Rio de Janeiro,BR,Brazil,Other,6320446,1,"5,000,000 and greater",UN_Data_2010_2020,POINT (-4837409.132452549 -2598381.911719354),Rio de Janeiro,11760550,2022,0,53637,,,,Inland perennial,BR,0.014817685096227683,1.1040062216818914e-05,19.46119305058637,2803046,Atlantic Ocean,Baia de Guanbara,,Ocean or Sea,,0.3241976881886767,0.0016460846890272696,20.91382539863065,1,coast
163,BRA-RDJ,Rio de Janeiro,BR,Brazil,Provincial capital,487562,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-4773491.488876889 -2612560.354915387),Niteroi,516980,2021,0,53588,,,,Inland perennial,BR,0.013778079005722544,1.0476074163968985e-05,0.3474565934739018,2776413,Atlantic Ocean,,,Ocean or Sea,,0.8748474386485564,0.026931610846216675,15.345798668947046,3,coast
164,BRA-MRN,Maranhao,BR,Brazil,Provincial capital,958545,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-4931564.379669458 -280058.0293604146),Sao Luis,1054010,2021,0,2775141,Atlantic Ocean,,,Ocean or Sea,,1.469960163909523,0.029850809806089385,0.3709400469024415,2775141,Atlantic Ocean,,,Ocean or Sea,,1.469960163909523,0.029850809806089385,0.3709400469024415,2,coast
165,BRA-CEA,Ceara,BR,Brazil,Provincial capital,2452185,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-4295708.116334432 -421427.6122854762),Fortaleza,3424978,2022,0,65270,,,,Inland perennial,BR,0.020526540846246236,3.0212448003279488e-05,2.6636359461418886,2802852,Atlantic Ocean,,,Ocean or Sea,,0.9202910280055505,0.02134487837344208,9.146124084061292,2,coast
166,BRA-PIA,Piaui,BR,Brazil,Provincial capital,767559,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-4764697.019305659 -569039.177634333),Teresina,1040765,2022,0,63990,,,,Inland perennial,BR,7.718972641683178,0.006604828645813838,1.4981313899217805,2357799,Atlantic Ocean,,,Ocean or Sea,,0.21097823058304277,0.0002412081028312013,256.95831304291795,2,inland
167,BRA-RGN,Rio Grande do Norte,BR,Brazil,Provincial capital,803739,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-3919670.224999684 -647429.8333567858),Natal,896710,2021,0,2254204,,,,Inland perennial,BR,0.4074656769953034,0.0007687956090663549,2.085556396030331,2483517,Atlantic Ocean,,,Ocean or Sea,,0.5239717385908362,0.008451332369113187,3.1456474432235013,3,coast
168,BRA-PAA,Paraiba,BR,Brazil,Provincial capital,720954,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-3881376.524621262 -795764.2520565662),Joao Pessoa,1173268,2022,0,2254201,,,,Inland perennial,BR,0.7945962189313279,0.002081495247350646,3.3734996204567307,2600437,Atlantic Ocean,,,Ocean or Sea,,0.28150671639714975,0.0029404972253829504,4.890625723928005,2,coast
169,BRA-PRN,Pernambuco,BR,Brazil,Provincial capital,1537704,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-3886719.531336599 -903019.5565796542),Recife,3783639,2022,0,61505,,,,Inland perennial,BR,0.023986329512177766,1.866612692227707e-05,0.04105180048706759,2802851,Atlantic Ocean,,,Ocean or Sea,,0.6045630007704734,0.007098737543190563,2.879941503658271,2,coast
170,BRA-ALG,Alagoas,BR,Brazil,Provincial capital,932078,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-3979418.057117488 -1082384.619611053),Maceio,1194596,2022,0,2601076,Atlantic Ocean,,,Ocean or Sea,,1.0467441354991076,0.05499132702828291,0.0,2601076,Atlantic Ocean,,,Ocean or Sea,,1.0467441354991076,0.05499132702828291,0.0,2,coast
171,BRA-SRG,Sergipe,BR,Brazil,Provincial capital,571149,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-4125500.504052276 -1222015.111170016),Aracaju,1019011,2022,0,60358,,,,Inland perennial,BR,1.4401477757807877,0.003034496934986054,1.3385618351638802,2603202,Atlantic Ocean,,,Ocean or Sea,,0.6635814433617949,0.023726293706694282,5.41949087113136,2,coast
172,USA-TEX,Texas,US,United States,Other,50446,6,"50,000 to 99,999",US_Census_2019,POINT (-10551228.86984872 3416016.813192299),Galveston,191863,2020,0,2622705,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.7235914447287888,0.006020333736532104,0.0,2622705,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.7235914447287888,0.006020333736532104,0.0,5,coast
173,CAN-NTR,Northwest Territories,CA,Canada,Provincial capital,0,0, , ,POINT (-12729495.37952195 8968087.476795256),Yellowknife,19673,2021,0,2209076,Great Slave Lake,,,Inland perennial,CA,134.7894289954927,4.561872040677215,0.0,2624373,Arctic Ocean,,,Ocean or Sea,,17.746483293645703,0.360755022569774,1278.313223308756,7,inland
174,USA-ALK,Alaska,US,United States,Provincial capital,31974,7,"Less than 50,000",US_Census_2019,POINT (-14961786.03312926 8031239.330165423),Juneau,230195,2008,0,2711512,Pacific Ocean,,,Ocean or Sea,,1.0081808970618031,0.003909899038665514,1.0238364146942025,2711512,Pacific Ocean,,,Ocean or Sea,,1.0081808970618031,0.003909899038665514,1.0238364146942025,5,coast
175,USA-MSP,Mississippi,US,United States,Provincial capital,4642,7,"Less than 50,000",US_Census_2019,POINT (-10041352.43763505 3805257.550108436),Jackson,2948160,2022,0,2049665,,,,Inland perennial,US,0.07242890934821591,0.00014728848039580666,4.924680003028676,2497250,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.30747332646081577,0.0030709291320813385,271.12777952769665,2,inland
176,USA-LOU,Louisiana,US,United States,Provincial capital,220236,5,"100,000 to 249,999",US_Census_2019,POINT (-10147105.39954332 3563462.382919404),Baton Rouge,631326,2020,0,2048113,,,,Inland perennial,US,0.02637639066545697,2.1433409173112282e-05,3.256195116724481,2503195,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.4083326527591057,0.005380450300035598,104.39242746605616,3,inland
177,USA-LOU,Louisiana,US,United States,Other,390144,4,"250,000 to 499,999",US_Census_2019,POINT (-10029740.70413908 3497944.507625207),New Orleans,914531,2020,0,2258909,Mississippi River,,,Inland perennial,US,8.947653408860615,0.027983915532191744,4.058780281894272,2341550,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,1.1721953371723388,0.0269474470907161,20.573205153849866,3,inland
178,USA-TEX,Texas,US,United States,Other,2320268,2,"1,000,000 to 4,999,999",US_Census_2019,POINT (-10620670.86194347 3474254.169128591),Houston,853252,2020,0,2257379,,,,Inland perennial,US,0.47038250732528525,0.0005664727950637155,15.04157912619137,2803027,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,1.0550108364151187,0.01310644278739021,44.11323474503894,3,inland
179,USA-ALK,Alaska,US,United States,Other,30917,7,"Less than 50,000",US_Census_2019,POINT (-16436454.46810153 9566023.8490931),Fairbanks,71396,2020,0,2136845,,,,Inland perennial,US,0.013290415113119554,1.102030699676423e-05,3.508685456577008,2540738,Pacific Ocean,,,Ocean or Sea,,10.437361459134609,0.6480249233483497,853.501221874777,6,inland
180,USA-ALK,Alaska,US,United States,Other,3870,7,"Less than 50,000",US_Census_2019,POINT (-18397771.87081777 9500231.602968359),Nome,1228199,2021,0,2135653,,,,Inland perennial,US,0.02161164492117121,6.841382305577191e-06,0.2295006882258865,2399628,Bering Sea,Pacific Ocean,,Ocean or Sea,,8.083454322583737,0.7102203931826478,25.626093030461433,2,coast
181,CAN-YTR,Yukon Territory,CA,Canada,Provincial capital,0,0, , ,POINT (-15033030.39032767 8563177.646717889),Whitehorse,24513,2021,0,1190235,,,,Inland perennial,CA,46.96222731324725,0.12486648489302372,0.6689867111944299,2282012,Pacific Ocean,,,Ocean or Sea,,0.06361099940915689,0.00010823252786530506,276.6317166165356,7,inland
182,USA-ALK,Alaska,US,United States,Other,2796,7,"Less than 50,000",US_Census_2019,POINT (-16636698.29956757 8426503.154797021),Seward,684164,2023,0,2090484,,,,Inland perennial,US,0.010566855243869123,4.4258342957738845e-06,0.7858309071924047,2542949,Pacific Ocean,,,Ocean or Sea,,0.6294942716443225,0.010936887593128991,1.3765587887615476,3,coast
183,USA-HAW,Hawaii,US,United States,Provincial capital,371657,4,"250,000 to 499,999",US_Census_2019,POINT (-17573117.19969916 2431151.948347416),Honolulu,130176,2019,0,2402177,Pacific Ocean,,,Ocean or Sea,,1.8048886508243067,0.021876061060844037,2.288483466352169,2402177,Pacific Ocean,,,Ocean or Sea,,1.8048886508243067,0.021876061060844037,2.288483466352169,5,coast
184,USA-HAW,Hawaii,US,United States,Other,43050,7,"Less than 50,000",US_Census_2019,POINT (-17262011.83233961 2239277.282722958),Hilo,15893,2023,0,2716148,Pacific Ocean,,,Ocean or Sea,,0.39574797121136385,0.006507018620686297,1.2535266310431874,2716148,Pacific Ocean,,,Ocean or Sea,,0.39574797121136385,0.006507018620686297,1.2535266310431874,7,coast
185,USA-ALK,Alaska,US,United States,Other,288000,4,"250,000 to 499,999",US_Census_2019,POINT (-16686567.64561249 8672584.027460238),Anchorage,468055,2023,0,2104152,,,,Inland perennial,US,0.012711810465617621,6.323394950197599e-06,0.8868195211806776,2540738,Pacific Ocean,,,Ocean or Sea,,10.437361459134609,0.6480249233483497,3.362982493820372,4,coast
186,CAN-ALB,Alberta,CA,Canada,Provincial capital,1025096,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-12635652.72769996 7086513.002319064),Edmonton,1151635,2021,0,218907,,,,Inland perennial,CA,37.60763052656302,0.04554737922071176,4.0091336127428745,2375667,Pacific Ocean,,,Ocean or Sea,,0.25987631184671633,0.0012584258912869944,1274.190699831851,2,inland
187,CAN-ALB,Alberta,CA,Canada,Other,1335145,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-12695987.65482861 6626602.082319675),Calgary,1305550,2021,0,79138,,,,Inland perennial,CA,1.0544674797172537,0.0008504147094419273,2.8009352178183398,2375667,Pacific Ocean,,,Ocean or Sea,,0.25987631184671633,0.0012584258912869944,1018.5293381537977,2,inland
188,CAN-BCL,British Columbia,CA,Canada,Other,685885,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-13688185.96007754 6321532.825129657),Vancouver,2426160,2021,0,2437640,Pacific Ocean,,,Ocean or Sea,,0.8779329365838192,0.0038908227051582234,2.282770904250234,2437640,Pacific Ocean,,,Ocean or Sea,,0.8779329365838192,0.0038908227051582234,2.282770904250234,2,coast
189,CAN-BCL,British Columbia,CA,Canada,Provincial capital,94005,6,"50,000 to 99,999",UN_Data_2010_2020,POINT (-13733596.97624419 6181041.564939562),Victoria,363222,2021,0,2710249,Pacific Ocean,,,Ocean or Sea,,1.6689160773190268,0.04885479128299712,1.2747804313034596,2710249,Pacific Ocean,,,Ocean or Sea,,1.6689160773190268,0.04885479128299712,1.2747804313034596,4,coast
190,USA-WSH,Washington,US,United States,Other,753675,3,"500,000 to 999,999",US_Census_2019,POINT (-13616227.27017652 6038675.641161927),Seattle,52300,2023,0,2325001,Pacific Ocean,,,Ocean or Sea,,2.2471388379476656,0.02694484700299655,2.5687288503088443,2325001,Pacific Ocean,,,Ocean or Sea,,2.2471388379476656,0.02694484700299655,2.5687288503088443,6,coast
191,USA-WSH,Washington,US,United States,Provincial capital,52882,6,"50,000 to 99,999",US_Census_2019,POINT (-13680275.15415781 5949258.792018483),Olympia,982276,2020,0,2343857,Pacific Ocean,,,Ocean or Sea,,0.29159034200331724,0.0016282214990060184,0.5869464194855658,2343857,Pacific Ocean,,,Ocean or Sea,,0.29159034200331724,0.0016282214990060184,0.5869464194855658,3,coast
192,USA-ORE,Oregon,US,United States,Other,654741,3,"500,000 to 999,999",US_Census_2019,POINT (-13652409.98911251 5691395.65165112),Portland,49528,2020,0,2072674,,,,Inland perennial,US,6.255933733093033,0.0056040341981642185,0.17828444674306304,2488317,Pacific Ocean,,,Ocean or Sea,,0.3140309492380062,0.0022875342047349156,137.32355552572446,7,inland
193,CAN-NTR,Northwest Territories,CA,Canada,Other,0,0, , ,POINT (-14884082.56236218 10556628.3776299),Inuvik,3137,2021,0,585724,,,,Inland perennial,CA,0.04453340432277708,3.9808011100082085e-05,4.19294245401199,2746235,Beaufort Sea,Arctic Ocean,,Ocean or Sea,,19.616296437581685,0.2666660519194593,116.70962479389961,7,inland
194,USA-NDA,North Dakota,US,United States,Provincial capital,73529,6,"50,000 to 99,999",US_Census_2019,POINT (-11219145.1445823 5909489.861306058),Bismarck,75092,2023,0,2226886,Missouri River,,,Inland perennial,US,4.775657839867454,0.008903455929313494,3.928651771343197,2437163,Hudson Bay,Arctic Ocean,,Ocean or Sea,,0.3215267919613841,0.007033031985919416,2074.65660543468,6,inland
195,CAN-MNT,Manitoba,CA,Canada,Other,0,0, , ,POINT (-10478715.13844551 8126217.557312789),Churchill,870,2021,0,2204089,Churchill River,,,Inland perennial,CA,9.53723527793891,0.023254780551909195,1.980809911408649,2665580,Hudson Bay,Arctic Ocean,,Ocean or Sea,,0.9932661440563286,0.041548767962882274,4.377646498412007,7,coast
196,CAN-SSK,Saskatchewan,CA,Canada,Other,275242,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-11869997.49453832 6820039.340471103),Saskatoon,264637,2021,0,1189906,,,,Inland perennial,CA,10.234191661559018,0.017140564399067918,3.652173549653912,2437163,Hudson Bay,Arctic Ocean,,Ocean or Sea,,0.3215267919613841,0.007033031985919416,1835.0395771830765,4,inland
197,CAN-SSK,Saskatchewan,CA,Canada,Provincial capital,237011,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (-11645799.79978029 6524225.584412714),Regina,224996,2021,0,78091,,,,Inland perennial,CA,0.12096717132704216,0.00014676789756485533,1.8664205066851227,2437163,Hudson Bay,Arctic Ocean,,Ocean or Sea,,0.3215267919613841,0.007033031985919416,1834.2620975452617,5,inland
198,CAN-MNT,Manitoba,CA,Canada,Provincial capital,763922,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-10811794.62282428 6432605.991621949),Winnipeg,758515,2021,0,2238861,Red River,,,Inland perennial,CA,3.017398054117396,0.0032964067604643,0.27115718321310867,2437163,Hudson Bay,Arctic Ocean,,Ocean or Sea,,0.3215267919613841,0.007033031985919416,1431.0592522632842,3,inland
199,USA-MNT,Montana,US,United States,Provincial capital,33124,7,"Less than 50,000",US_Census_2019,POINT (-12471678.76755458 5876378.028292366),Helena,119669,2023,0,2077287,,,,Inland perennial,US,0.16124721321154858,0.0009078014742774186,16.737982764428708,2376438,Pacific Ocean,,,Ocean or Sea,,0.9223554993584734,0.008937171633290882,1149.8743086010634,5,inland
200,USA-MNN,Minnesota,US,United States,Provincial capital,308096,4,"250,000 to 499,999",US_Census_2019,POINT (-10359948.8204812 5624827.645356637),Saint Paul,254171,2023,0,2070446,,,,Inland perennial,US,0.050848889278206064,9.36527077035871e-05,0.09342983681113654,2603577,James Bay,Hudson Bay,Arctic Ocean,Ocean or Sea,,1.1422872267133364,0.049378711943153734,1755.7391131120517,4,inland
201,USA-SDA,South Dakota,US,United States,Provincial capital,13867,7,"Less than 50,000",US_Census_2019,POINT (-11170910.85906353 5522365.865166179),Pierre,79679,2021,0,2222150,Lake Sharpe,Missouri River,,Inland perennial,US,3.774336383790193,0.025810204447244717,0.8928148895237504,2514801,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.6990079521795093,0.009016224037477667,2139.2736928204686,6,inland
202,USA-MNN,Minnesota,US,United States,Other,429606,4,"250,000 to 499,999",US_Census_2019,POINT (-10386975.39942411 5609595.120316415),Minneapolis,23719,2022,0,2221298,Lake Harriet,,,Inland perennial,US,0.04708656263719041,0.00015816139592360874,0.0,2603577,James Bay,Hudson Bay,Arctic Ocean,Ocean or Sea,,1.1422872267133364,0.049378711943153734,1786.4907015125877,7,inland
203,USA-IOW,Iowa,US,United States,Provincial capital,214237,5,"100,000 to 249,999",US_Census_2019,POINT (-10421952.88801566 5100950.713914917),Des Moines,542486,2020,0,2061114,,,,Inland perennial,US,0.015506817345840009,1.5225688038449425e-05,6.083637404370278,2497250,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.30747332646081577,0.0030709291320813385,1620.9810854211598,3,inland
204,USA-NEB,Nebraska,US,United States,Provincial capital,289102,4,"250,000 to 499,999",US_Census_2019,POINT (-10762590.5160335 4983915.606814477),Lincoln,95096,2022,0,2059521,,,,Inland perennial,US,0.027004152188401628,3.07513401943955e-05,4.757592524498961,2514801,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.6990079521795093,0.009016224037477667,1523.0280234111572,6,inland
205,USA-KAN,Kansas,US,United States,Provincial capital,125310,5,"100,000 to 249,999",US_Census_2019,POINT (-10652718.86248709 4728262.255238612),Topeka,148956,2020,0,2213099,Kansas River,,,Inland perennial,US,5.782074856788839,0.005708817607730932,3.2959338756604883,2514801,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.6990079521795093,0.009016224037477667,1256.4002129932053,5,inland
206,USA-OKL,Oklahoma,US,United States,Provincial capital,655057,3,"500,000 to 999,999",US_Census_2019,POINT (-10856990.23572887 4230670.765585859),Oklahoma City,3332,2021,0,2053861,,,,Inland perennial,US,0.01811765165237716,1.4676959470383415e-05,8.669325209674433,2803027,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,1.0550108364151187,0.01310644278739021,814.2238218647055,7,inland
207,USA-CAL,California,US,United States,Other,1423851,2,"1,000,000 to 4,999,999",US_Census_2019,POINT (-13038350.53531388 3863684.143682374),San Diego,284600,2019,0,2643945,Pacific Ocean,,,Ocean or Sea,,0.41000632747549515,0.0012003406586294238,7.218920993194096,2643945,Pacific Ocean,,,Ocean or Sea,,0.41000632747549515,0.0012003406586294238,7.218920993194096,4,coast
208,MEX-BCN,Baja California,MX,Mexico,Provincial capital,1087478,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (-12853727.94441568 3849599.604978119),Mexicali,854186,2020,0,26221,,,,Inland perennial,,0.017396429642801643,9.671183732348965e-06,3.571772765611284,2623534,Gulf of California,Pacific Ocean,,Ocean or Sea,,0.6735754150462446,0.010893099082247004,151.4208889016235,3,inland
209,USA-IDA,Idaho,US,United States,Provincial capital,228959,5,"100,000 to 249,999",US_Census_2019,POINT (-12937184.15416132 5406315.975633011),Boise,8517,2023,0,2066599,,,,Inland perennial,US,0.034223861754425725,2.5771309731642184e-05,2.4846222532906497,2376282,Pacific Ocean,,,Ocean or Sea,,0.16623369462388785,0.00024427598307998657,874.9242550149296,7,inland
210,USA-CAL,California,US,United States,Other,433031,4,"250,000 to 499,999",US_Census_2019,POINT (-13611197.85362014 4552684.377122172),Oakland,58200,2023,0,2055835,,,,Inland perennial,US,0.04464199167754516,5.5881172745860594e-05,0.9925338165340046,2452229,Pacific Ocean,,,Ocean or Sea,,0.8570072254629421,0.004024463946405088,2.3934994524565103,6,coast
211,USA-ORE,Oregon,US,United States,Provincial capital,146338,5,"100,000 to 249,999",US_Census_2019,POINT (-13691295.77674357 5614597.090911719),Salem,47983,2021,0,2072674,,,,Inland perennial,US,6.255933733093033,0.0056040341981642185,5.065460597982128,2437617,Pacific Ocean,,,Ocean or Sea,,0.05069973553621053,0.00010060168058734367,110.29999716706968,7,inland
212,USA-NEV,Nevada,US,United States,Provincial capital,55916,6,"50,000 to 99,999",US_Census_2019,POINT (-13332289.75667791 4745334.466027138),Carson City,61629,2020,0,2225701,Marlette Lake,,,Inland perennial,US,0.059439787192697414,0.0001590686800194842,14.266516544255765,2572293,Pacific Ocean,,,Ocean or Sea,,0.3009482637764411,0.0021109864777516065,284.26436823293756,6,inland
213,USA-CAL,California,US,United States,Provincial capital,513624,3,"500,000 to 999,999",US_Census_2019,POINT (-13516746.03776257 4659836.177125965),Sacramento,528599,2021,0,2056860,,,,Inland perennial,US,0.02431763884366069,2.4883682412281792e-05,8.051453090799077,2572293,Pacific Ocean,,,Ocean or Sea,,0.3009482637764411,0.0021109864777516065,87.59434533806922,3,inland
214,USA-CAL,California,US,United States,Other,881549,3,"500,000 to 999,999",US_Census_2019,POINT (-13623289.48708873 4550621.340037107),San Francisco,166400,2019,0,2802995,Pacific Ocean,,,Ocean or Sea,,2.2603875714884496,0.033988861825208626,0.0,2802995,Pacific Ocean,,,Ocean or Sea,,2.2603875714884496,0.033988861825208626,0.0,5,coast
215,USA-CAL,California,US,United States,Other,1021795,2,"1,000,000 to 4,999,999",US_Census_2019,POINT (-13563996.50162639 4482140.111606267),San Jose,808988,2023,0,2055330,,,,Inland perennial,US,0.026217427624450486,4.392414569994456e-05,5.460227638440296,2378297,Pacific Ocean,,,Ocean or Sea,,0.144326233482082,0.0006352457657988335,24.78574713501764,3,inland
216,USA-CAL,California,US,United States,Other,3979576,2,"1,000,000 to 4,999,999",US_Census_2019,POINT (-13163529.85769056 4028802.289190708),Los Angeles,230800,2019,0,2211696,Ivanhoe Reservoir,,,Inland perennial,US,0.025737221552666473,3.3040680729514426e-05,12.630984869133487,2326217,Pacific Ocean,,,Ocean or Sea,,0.22021561291837347,0.0015731738427986186,22.07841081022262,5,inland
217,USA-WYM,Wyoming,US,United States,Provincial capital,64235,6,"50,000 to 99,999",US_Census_2019,POINT (-11667841.06337363 5032126.185790318),Cheyenne,79250,2020,0,2252085,Wyo Hereford Ranch Reservoir Number 1,,,Inland perennial,US,0.026592249382400786,2.669735602646167e-05,7.939442633722904,2324809,Gulf of California,Pacific Ocean,,Ocean or Sea,,0.6486751833682413,0.0109726385399415,1654.3030660244347,6,inland
218,USA-UTA,Utah,US,United States,Provincial capital,200567,5,"100,000 to 249,999",US_Census_2019,POINT (-12455759.98200368 4967163.562114486),Salt Lake City,177432,2023,0,2059379,,,,Inland perennial,US,0.028220105853688924,4.566245568984946e-05,11.53411984529895,2572293,Pacific Ocean,,,Ocean or Sea,,0.3009482637764411,0.0021109864777516065,1176.8421393709625,5,inland
219,USA-COL,Colorado,US,United States,Provincial capital,727211,3,"500,000 to 999,999",US_Census_2019,POINT (-11697340.29418085 4804807.137875035),Denver,716577,2023,0,2203687,Chatfield Lake,,,Inland perennial,US,0.13045713292173874,0.0005383964493942101,3.2307070837102794,2324809,Gulf of California,Pacific Ocean,,Ocean or Sea,,0.6486751833682413,0.0109726385399415,1452.8953217204896,3,inland
220,USA-KAN,Kansas,US,United States,Other,495327,4,"250,000 to 499,999",US_Census_2019,POINT (-10533781.2056243 4720829.357615285),Kansas City,98828,2012,0,2213099,Kansas River,,,Inland perennial,US,5.782074856788839,0.005708817607730932,11.343470931814041,2514801,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.6990079521795093,0.009016224037477667,1244.4287020737463,6,inland
221,USA-MOS,Missouri,US,United States,Other,300576,4,"250,000 to 499,999",US_Census_2019,POINT (-10056823.39514357 4670075.580215919),St. Louis,112544,2023,0,2226880,Mississippi River,,,Inland perennial,US,95.41829628725917,0.31168441718278556,15.545707020966045,2341574,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,1.6315752389517844,0.014331807509584881,1102.814044716871,5,inland
222,USA-MOS,Missouri,US,United States,Provincial capital,42708,7,"Less than 50,000",US_Census_2019,POINT (-10260206.11249205 4661687.925342433),Jefferson City,3712917,2022,0,2226883,Missouri River,,,Inland perennial,US,28.197902052256424,0.0411935101247785,0.02378954742065545,2497250,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.30747332646081577,0.0030709291320813385,1153.8799354897894,2,inland
223,USA-NME,New Mexico,US,United States,Provincial capital,84683,6,"50,000 to 99,999",US_Census_2019,POINT (-11793409.11743892 4257090.153823774),Santa Fe,208906,2023,0,2054063,,,,Inland perennial,US,0.02100984620649571,2.4877901600923073e-05,11.850649960333698,2324809,Gulf of California,Pacific Ocean,,Ocean or Sea,,0.6486751833682413,0.0109726385399415,996.3236182366029,5,inland
224,USA-TNN,Tennessee,US,United States,Other,651073,3,"500,000 to 999,999",US_Census_2019,POINT (-10018790.19399789 4179482.633704341),Memphis,41974,2011,0,2226880,Mississippi River,,,Inland perennial,US,95.41829628725917,0.31168441718278556,7.526420281122439,2341574,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,1.6315752389517844,0.014331807509584881,622.7907969029872,7,inland
225,USA-ARK,Arkansas,US,United States,Provincial capital,197312,5,"100,000 to 249,999",US_Census_2019,POINT (-10275902.49458945 4131448.829831663),Little Rock,506552,2021,0,2198642,Arkansas River,,,Inland perennial,US,7.786129637416787,0.016566920893378426,1.102702328514832,2503196,Gulf of Mexico,Atlantic Ocean,,Ocean or Sea,,0.945197098898053,0.024455463391236738,650.2034142047569,3,inland
226,USA-ARZ,Arizona,US,United States,Provincial capital,1680992,2,"1,000,000 to 4,999,999",US_Census_2019,POINT (-12480028.41179709 3963061.472459931),Phoenix,66106,2019,0,2051192,,,,Inland perennial,US,0.018503001893897295,2.4692209865318737e-05,13.014403216996552,2324550,Gulf of California,Pacific Ocean,,Ocean or Sea,,0.8862858818528685,0.02312743048050836,316.3628502694968,6,inland
227,USA-TEX,Texas,US,United States,Other,681728,3,"500,000 to 999,999",US_Census_2019,POINT (-11849959.98050611 3734466.590170178),El Paso,678958,2023,0,2049125,,,,Inland perennial,US,0.029675952002805563,1.710534601458265e-05,6.006165362568717,2623531,Gulf of California,Pacific Ocean,,Ocean or Sea,,0.4278501691336671,0.00350318988091914,677.2584178737941,3,inland
228,MEX-SON,Sonora,MX,Mexico,Provincial capital,946054,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-12352233.1915315 3387615.968785504),Hermosillo,855563,2020,0,2237723,Presa Abelardo L Rodríguez,,,Inland perennial,MX,0.23150146708516572,0.000848670018754165,4.390218523314562,2564451,Laguna de La Cruz,Gulf of California,Pacific Ocean,Ocean or Sea,,0.5213780872772434,0.0022347153241512835,105.75751329593484,3,inland
229,MEX-CHH,Chihuahua,MX,Mexico,Provincial capital,994642,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-11808103.62475573 3328763.657931461),Chihuahua,925762,2020,0,1314207,,,,Inland perennial,MX,0.03642003609329628,3.988433937505915e-05,5.525195510341885,2572155,Gulf of California,Pacific Ocean,,Ocean or Sea,,0.490013436683109,0.013110018836098913,443.9039185865259,3,inland
230,MEX-SIN,Sinaloa,MX,Mexico,Provincial capital,962871,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (-11954155.01294602 2851812.075227406),Culiacan,808416,2020,0,1313342,,,,Inland perennial,MX,0.09561041787033603,0.00022658716867750061,8.667135732615176,2572041,Gulf of California,Pacific Ocean,,Ocean or Sea,,0.5960686456090393,0.0053495090492059255,39.387943846260576,3,inland
231,MEX-BCS,Baja California Sur,MX,Mexico,Provincial capital,301961,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (-12279600.21739208 2772480.544592258),La Paz,250141,2020,0,2572058,Bahia de La Paz,Gulf of California,Pacific Ocean,Ocean or Sea,,0.2993820948390634,0.0021720216218836996,1.156286966858608,2572058,Bahia de La Paz,Gulf of California,Pacific Ocean,Ocean or Sea,,0.2993820948390634,0.0021720216218836996,1.156286966858608,4,coast
